ann_ret,ann_vol,sharpe,max_drawdown,win_rate,n_days,index,strategy,mode,benchmark_ann_ret,benchmark_sharpe,benchmark_max_drawdown
0.09057514733938521,0.16026422825033282,0.5651613484071241,-0.22308055947952088,0.2332392378263938,2834,CSI500,targeted_CSI500_smooth20,monthly_hold,0.033636348171806274,0.13146403808421767,-0.6519574332360283
0.13057337080569487,0.23511549256314265,0.5553584299453515,-0.3190483968669465,0.23081683168316833,1616,STAR50,targeted_STAR50_smooth20,monthly_hold,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.09069440601801348,0.16663804007764685,0.5442599179380255,-0.27300461971531775,0.3574453069865914,2834,CSI1000,targeted_CSI1000,top_quantile,0.021577085761697923,0.07788025042274226,-0.7234872372733585
0.08204897240884823,0.15167740764198603,0.5409439262207969,-0.22540394857439716,0.22900494001411434,2834,CSI500,targeted_CSI500,monthly_hold,0.033636348171806274,0.13146403808421767,-0.6519574332360283
0.08500125405099124,0.1633807523941624,0.5202647974464117,-0.23705109129489854,0.3577981651376147,2834,CSI500,targeted_CSI500_smooth20,top_quantile,0.033636348171806274,0.13146403808421767,-0.6519574332360283
0.07893178642990506,0.1568907707868688,0.5031002527046757,-0.21084007431466734,0.3514467184191955,2834,CSI500,targeted_CSI500,top_quantile,0.033636348171806274,0.13146403808421767,-0.6519574332360283
0.08699818503785295,0.173774842055023,0.5006373995742512,-0.33686442831998153,0.2392378263937897,2834,CSI1000,targeted_CSI1000_smooth20,monthly_hold,0.021577085761697923,0.07788025042274226,-0.7234872372733585
0.11294759927907472,0.2267367345280073,0.4981442443113383,-0.29131459055898945,0.20853960396039603,1616,STAR50,targeted_STAR50,monthly_hold,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.07954113002179608,0.16127241682062507,0.49320976016788753,-0.18974369062345608,0.23253352152434723,2834,CSI500,targeted_CSI500_smooth20,weekly_hold,0.033636348171806274,0.13146403808421767,-0.6519574332360283
0.06770910382389173,0.15267382959800663,0.4434886057562793,-0.26112113996579434,0.21559633027522937,2834,CSI500,targeted_CSI500,weekly_hold,0.033636348171806274,0.13146403808421767,-0.6519574332360283
0.06431516858851927,0.145581037147928,0.4417825964735177,-0.3695418033286392,0.22335920959774172,2834,CSI500,report_offensive_defensive,weekly_hold,0.033636348171806274,0.13146403808421767,-0.6519574332360283
0.0889817906483783,0.20605821949283834,0.4318283971752503,-0.2883334535649603,0.20173267326732675,1616,STAR50,report_offensive_defensive,monthly_hold,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.09173816502241627,0.2289874450819945,0.4006253049793503,-0.30794754183446305,0.3224009900990099,1616,STAR50,targeted_STAR50,top_quantile,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.09642399624137132,0.2419354435932728,0.39855258414915634,-0.4310524644334749,0.25804455445544555,1616,STAR50,report_offensive_defensive,zero_threshold,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.06468767675049336,0.1773379525522547,0.36477063042347,-0.33608851992057287,0.3613267466478476,2834,CSI1000,targeted_CSI1000_smooth20,top_quantile,0.021577085761697923,0.07788025042274226,-0.7234872372733585
0.05834940433072089,0.16243826296131733,0.3592097284653683,-0.3764270120300304,0.28158080451658435,2834,CSI500,report_offensive_defensive,zero_threshold,0.033636348171806274,0.13146403808421767,-0.6519574332360283
0.061507982125469596,0.17574860168573386,0.3499770782555388,-0.37719713054116033,0.23747353563867327,2834,CSI1000,targeted_CSI1000_smooth20,weekly_hold,0.021577085761697923,0.07788025042274226,-0.7234872372733585
0.05632889578622735,0.1734136624709071,0.3248238632620854,-0.5300825007306277,0.2861679604798871,2834,CSI1000,report_offensive_defensive,zero_threshold,0.021577085761697923,0.07788025042274226,-0.7234872372733585
0.04645593295118711,0.14498472416592115,0.32041950087115895,-0.3560897525402775,0.2332392378263938,2834,CSI500,report_offensive_defensive,monthly_hold,0.033636348171806274,0.13146403808421767,-0.6519574332360283
0.0631339052771096,0.1972429391009401,0.32008195357908603,-0.4345487956249462,0.19616336633663367,1616,STAR50,report_icwr_12m_20d,zero_threshold,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.05967217720375406,0.2106597560465932,0.28326329776322307,-0.39283705297594085,0.2995049504950495,1616,STAR50,report_offensive_defensive,top_quantile,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.04412088978588957,0.16003223842285966,0.27570001032733893,-0.38009518701670064,0.22230063514467185,2834,CSI1000,targeted_CSI1000,weekly_hold,0.021577085761697923,0.07788025042274226,-0.7234872372733585
0.04382646337164475,0.1661913067769246,0.26371092580956823,-0.4685050777278629,0.2367678193366267,2834,CSI1000,report_offensive_defensive,weekly_hold,0.021577085761697923,0.07788025042274226,-0.7234872372733585
0.04394098760200227,0.1960060630237556,0.22418177746204054,-0.37152530581037213,0.20173267326732675,1616,STAR50,report_icwr_12m_20d,monthly_hold,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.03446015034776573,0.16187070277195342,0.21288688908896536,-0.45546667697952814,0.2360621030345801,2834,CSI1000,report_offensive_defensive,monthly_hold,0.021577085761697923,0.07788025042274226,-0.7234872372733585
0.04185550783287373,0.198319480109483,0.2110509154711743,-0.46108103401098066,0.3100247524752475,1616,STAR50,report_icwr_12m_20d,top_quantile,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.032530433450584484,0.18810116938196272,0.17294115479169303,-0.4788965185284402,0.20173267326732675,1616,STAR50,report_icwr_6m_20d,weekly_hold,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.019282454164847973,0.15065996841336796,0.12798658042953004,-0.43790939990121114,0.3394495412844037,2834,CSI500,report_offensive_defensive,top_quantile,0.033636348171806274,0.13146403808421767,-0.6519574332360283
0.016720876524056294,0.15626992828647343,0.10699996286811911,-0.40710701379326386,0.24347212420606917,2834,CSI500,report_icwr_12m_20d,zero_threshold,0.033636348171806274,0.13146403808421767,-0.6519574332360283
0.013816025688031308,0.154783560847065,0.08926029103105033,-0.3749122977563182,0.23112208892025407,2834,CSI500,report_icwr_12m_20d,monthly_hold,0.033636348171806274,0.13146403808421767,-0.6519574332360283
0.012338829003590623,0.1854042543448142,0.06655094861330912,-0.45114290590131734,0.22834158415841585,1616,STAR50,report_icir_12m_20d,zero_threshold,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.010933916735848648,0.1753558980820758,0.06235271727633021,-0.41515641827862226,0.239590684544813,2834,CSI1000,report_icwr_12m_20d,monthly_hold,0.021577085761697923,0.07788025042274226,-0.7234872372733585
0.008057059942731426,0.16529173359768945,0.04874448205826097,-0.5271636565089282,0.34262526464361326,2834,CSI1000,report_offensive_defensive,top_quantile,0.021577085761697923,0.07788025042274226,-0.7234872372733585
0.006564522699057385,0.1561188816570185,0.042048230357421786,-0.5180900342171708,0.23076923076923078,2834,CSI1000,report_icir_12m_20d,monthly_hold,0.021577085761697923,0.07788025042274226,-0.7234872372733585
0.006422046269372039,0.18166503388996505,0.035351031136029665,-0.44704910935290243,0.1974009900990099,1616,STAR50,report_icwr_6m_20d,monthly_hold,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.004599090132380912,0.18569763591100535,0.02476655187244819,-0.3982626243827877,0.1905940594059406,1616,STAR50,report_icwr_6m_20d,zero_threshold,0.08096920034539701,0.23790451394273604,-0.626567472120988
0.0031480187059889086,0.15269362696459368,0.020616569064266614,-0.3783582246047884,0.24170783345095273,2834,CSI500,report_icir_6m_20d,zero_threshold,0.033636348171806274,0.13146403808421767,-0.6519574332360283
0.0022356410392310178,0.13974283996958026,0.015998251071165294,-0.4550867001051597,0.21665490472829924,2834,CSI500,report_icir_12m_20d,monthly_hold,0.033636348171806274,0.13146403808421767,-0.6519574332360283
0.002252478860330198,0.14680230901163574,0.015343620107171909,-0.37382366264049904,0.21630204657727595,2834,CSI500,report_icir_6m_20d,monthly_hold,0.033636348171806274,0.13146403808421767,-0.6519574332360283
0.00034616634362549803,0.16247374564561756,0.0021305986530312706,-0.39638140453759996,0.3479181369089626,2834,CSI500,report_icwr_12m_20d,top_quantile,0.033636348171806274,0.13146403808421767,-0.6519574332360283
0.00020301365782771086,0.1550033719393751,0.0013097370417665076,-0.523387651369186,0.223712067748765,2834,CSI1000,report_icir_12m_20d,weekly_hold,0.021577085761697923,0.07788025042274226,-0.7234872372733585
-5.550847625734878e-05,0.18954571016732122,-0.00029285007932043807,-0.4399152597423569,0.1974009900990099,1616,STAR50,report_icwr_12m_20d,weekly_hold,0.08096920034539701,0.23790451394273604,-0.626567472120988
-0.002396379508714075,0.19992597258694647,-0.011986334130108611,-0.4763160220929358,0.3292079207920792,1616,STAR50,report_icir_12m_20d,top_quantile,0.08096920034539701,0.23790451394273604,-0.626567472120988
-0.002095298613061014,0.1615277344440352,-0.012971757576324924,-0.42229246158745704,0.33345095271700775,2834,CSI500,report_icir_6m_20d,top_quantile,0.033636348171806274,0.13146403808421767,-0.6519574332360283
-0.0026467732862359705,0.15820018296400082,-0.01673053239665504,-0.5030694107874762,0.22194777699364857,2834,CSI500,report_icwr_12m_20d,weekly_hold,0.033636348171806274,0.13146403808421767,-0.6519574332360283
-0.005692332931798827,0.18041762415730014,-0.0315508695915199,-0.4550993570076254,0.35250529287226534,2834,CSI1000,report_icwr_12m_20d,top_quantile,0.021577085761697923,0.07788025042274226,-0.7234872372733585
-0.006125925647407993,0.14407537956861116,-0.042518892997194725,-0.39209866088438006,0.2117148906139732,2834,CSI500,report_icir_6m_20d,weekly_hold,0.033636348171806274,0.13146403808421767,-0.6519574332360283
-0.012456118641560487,0.18842707180783286,-0.0661057804595289,-0.519922960305296,0.19616336633663367,1616,STAR50,report_icir_12m_20d,monthly_hold,0.08096920034539701,0.23790451394273604,-0.626567472120988
-0.010669567376541234,0.15710013938221198,-0.0679157091680424,-0.419540091444097,0.3475652787579393,2834,CSI500,report_icir_12m_20d,top_quantile,0.033636348171806274,0.13146403808421767,-0.6519574332360283
-0.013797704485763118,0.17300471947205923,-0.07975334157280888,-0.48175482943204473,0.360621030345801,2834,CSI1000,report_icir_12m_20d,top_quantile,0.021577085761697923,0.07788025042274226,-0.7234872372733585
-0.017145637504965117,0.16738013856343556,-0.10243531671152892,-0.4070195986008158,0.18378712871287128,1616,STAR50,report_icir_6m_20d,monthly_hold,0.08096920034539701,0.23790451394273604,-0.626567472120988
-0.015312994567103777,0.14871607079232446,-0.10296798782754091,-0.5151857325202163,0.2399435426958363,2834,CSI500,report_icir_12m_20d,zero_threshold,0.033636348171806274,0.13146403808421767,-0.6519574332360283
-0.019351751821224616,0.18516778846483975,-0.10450927767546994,-0.4810392139349938,0.26852505292872264,2834,CSI1000,report_icwr_12m_20d,zero_threshold,0.021577085761697923,0.07788025042274226,-0.7234872372733585
