index,horizon,factor,spearman_ic,ic_t_stat,direction_win_rate,top_mean_ret,bottom_mean_ret,top_minus_bottom,obs
CSI500,20,mom_20d,-0.008992810691787362,-0.475278841256669,0.4887298747763864,0.002033912010757375,0.0049777444594906895,-0.0029438324487333144,2795
CSI500,20,price_volume_confirm,0.008645656950644811,0.45191273347526145,0.5047549378200439,0.001664772315984051,0.0012855129006661605,0.0003792594153178904,2734
CSI500,20,volatility_breakout,-0.005800143210087938,-0.30653600279271725,0.4887298747763864,0.0040400289410231415,0.005765650380934876,-0.0017256214399117347,2795
CSI1000,1,neg_vol_20d,-0.09189025425459008,-4.893487105467639,0.4580668088130775,-0.0003008964318835201,0.0010642569875363964,-0.0013651534194199164,2814
CSI1000,1,amplitude_20d,-0.08105543290416273,-4.313187685643529,0.458259325044405,-7.164194186188124e-05,0.0007720043879860608,-0.000843646329847942,2815
CSI1000,1,vol_down,-0.07096700669936876,-3.7458422679676424,0.48738284066330206,-0.0009543821239359556,0.0013385743477347168,-0.0022929564716706726,2774
CSI1000,1,neg_vol_60d,-0.057888349410351536,-3.0529287950262733,0.46142754145638065,-0.00036437630355399815,-4.587047438186862e-05,-0.0003185058291721295,2774
CSI1000,1,intraday_strength_20d,0.05043195542494673,2.6782040696980762,0.5126110124333926,0.0019103951294421632,-0.000391180699187116,0.002301575828629279,2815
CSI1000,1,amount_ratio_60d,0.05027996776449369,2.6510601709310437,0.518918918918919,0.0017511377831599202,-0.0008921236674738687,0.002643261450633789,2775
CSI1000,1,amount_ratio_20d,0.046482614407145836,2.467999663544557,0.5236234458259325,0.001869695645089837,-0.0004372251517285544,0.0023069207968183913,2815
CSI1000,1,volatility_breakout,0.04151076498218625,2.203144048718149,0.5124378109452736,0.0015203826830759402,-0.00046983937981100247,0.001990222062886943,2814
CSI1000,1,mom_20d,0.04077926177840575,2.1642549670107583,0.5124378109452736,0.001396578052564876,-0.0006140534715854241,0.0020106315241503,2814
CSI1000,1,trend_vote,0.03886536622956213,2.0625224057823695,0.5110163468372424,0.0002799050464072439,-7.688621976390977e-05,0.00035679126617115366,2814
CSI1000,1,price_ma_gap_20d,0.03751333570615996,1.9945591419951747,0.5132743362831859,0.001123904787931111,-0.0005924406675674995,0.0017163454554986104,2825
CSI1000,1,defensive_trend,-0.03498466438004762,-1.8223353192856755,0.4896755162241888,-0.0005626177605107044,0.0011706032362136102,-0.0017332209967243146,2712
CSI1000,1,donchian_20d,-0.028511024800947738,-1.512774795517087,0.45150976909413854,0.0002896172841683452,0.00017788746747607255,0.00011172981669227265,2815
CSI1000,1,donchian_60d,-0.027565252229706128,-1.4521181914578305,0.4565765765765766,0.0003343519877470716,0.00043585800572489095,-0.00010150601797781933,2775
CSI1000,1,price_ma_gap_60d,0.01942191890418371,1.0284557510138017,0.5026737967914439,0.0009366876425974739,-0.00020342439482427238,0.0011401120374217462,2805
CSI1000,1,price_volume_corr_20d,0.01930978093396587,1.0241557019578047,0.5124378109452736,0.0001362675070016362,-2.627732695828991e-05,0.0001625448339599261,2814
CSI1000,1,risk_adjusted_mom_60d,0.0185655239871364,0.9776393711676719,0.5082912761355444,0.0005017607408911035,-0.00019244242993177353,0.0006942031708228771,2774
CSI1000,1,range_position_20d,0.016522449416142504,0.8764327233446041,0.5371225577264653,0.0006895793849109803,-0.0010044571767410422,0.0016940365616520225,2815
CSI1000,1,mom_120d,-0.01589609843311455,-0.8279236011768824,0.5036845983787767,-5.399337773756604e-05,0.0004801859086105673,-0.0005341792863481333,2714
CSI1000,1,ma_60_120_gap,-0.01528462632798698,-0.7962151895547459,0.5079189686924493,-0.0006400311713465739,0.0007414535462540397,-0.0013814847176006136,2715
CSI1000,1,up_amount_share_20d,0.015128018165326626,0.8024474563747795,0.5417406749555951,0.0013072475554561805,-9.054423425893245e-05,0.001397791789715113,2815
CSI1000,1,obv_slope_20d,0.015049054914682742,0.7981160948793753,0.5014214641080312,0.0013081390368164512,-0.00010661553395521736,0.0014147545707716685,2814
